中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,34 ms,592 Mbps,75878 kB/s,75878.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,568 Mbps,72806 kB/s,72806.0
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,47 ms,568 Mbps,72704 kB/s,72704.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,550 Mbps,70451 kB/s,70451.0
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,47 ms,510 Mbps,65331 kB/s,65331.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,58 ms,420 Mbps,53760 kB/s,53760.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,412 Mbps,52838 kB/s,52838.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,370 Mbps,47411 kB/s,47411.0
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,49 ms,331 Mbps,42393 kB/s,42393.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,219 Mbps,28057 kB/s,28057.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,188 Mbps,24064 kB/s,24064.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,188 Mbps,24064 kB/s,24064.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,164 Mbps,21094 kB/s,21094.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,50 Mbps,6439 kB/s,6439.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,115 ms,48 Mbps,6254 kB/s,6254.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,139 ms,45 Mbps,5887 kB/s,5887.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,173 ms,45 Mbps,5809 kB/s,5809.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,44 Mbps,5749 kB/s,5749.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,220 ms,43 Mbps,5612 kB/s,5612.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,43 Mbps,5605 kB/s,5605.0
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,196 ms,13 Mbps,1665 kB/s,1665.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,125 ms,0 Mbps,45 kB/s,45.0
