中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
192.9.139.160,443,192.9.139.160,US,San Jose,中转,23 ms,840 Mbps,107520 kB/s,107520.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,727 Mbps,93081 kB/s,93081.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,34 ms,623 Mbps,79769 kB/s,79769.0
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,35 ms,602 Mbps,77107 kB/s,77107.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,558 Mbps,71475 kB/s,71475.0
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,34 ms,531 Mbps,67993 kB/s,67993.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,53 ms,472 Mbps,60416 kB/s,60416.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,49 ms,329 Mbps,42188 kB/s,42188.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,130 ms,190 Mbps,24371 kB/s,24371.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,134 ms,165 Mbps,21196 kB/s,21196.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,130 ms,163 Mbps,20889 kB/s,20889.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,135 ms,142 Mbps,18227 kB/s,18227.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,161 ms,106 Mbps,13619 kB/s,13619.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,138 ms,48 Mbps,6203 kB/s,6203.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,164 ms,46 Mbps,5951 kB/s,5951.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,134 ms,43 Mbps,5515 kB/s,5515.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,214 ms,41 Mbps,5349 kB/s,5349.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,138 ms,37 Mbps,4836 kB/s,4836.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,132 ms,30 Mbps,3944 kB/s,3944.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,181 ms,7 Mbps,900 kB/s,900.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,39 ms,5 Mbps,643 kB/s,643.0
